Index,Targets,CrTi,SUL-P2,SUL-P3,ULB,Lo-Ru,Hi-Ru,FLA,FLB,Heat,M1A-P11,M1A-P12,M1B,ECL1,M2,ECL2,M3,ECL3,M4A,M4B,ECL4,M5,CAP,Hc,Hn
0,F2,1204,653,565,222,455,753,194,102,1150,142,157,135,64,170,79,255,106,141,187,157,129,183,4750,934
1,F2,1244,680,590,236,507,798,194,102,1150,141,156,135,64,170,84,240,106,156,187,169,134,178,4667,786
2,R1,1039,499,486,197,383,623,203,112,1150,177,186,113,65,140,79,240,106,184,160,173,120,214,4570,773
3,F2,1075,538,497,214,387,733,204,82,0,173,179,125,64,118,74,244,91,152,187,144,129,191,4676,929
4,F2,1030,510,476,188,382,593,199,102,0,166,172,125,64,118,74,242,101,172,157,152,114,191,4588,824
5,F1,1107,624,581,212,388,770,204,82,1150,190,182,149,63,125,75,237,93,153,185,157,131,210,4687,846
6,R1,1118,593,587,223,394,768,213,92,1150,183,195,133,65,140,79,242,96,164,180,173,130,216,4676,819
7,F1,1107,624,581,212,388,770,189,82,1150,190,182,149,63,125,75,237,93,153,185,157,131,200,4698,817
8,F1,1042,524,472,186,378,608,189,102,1150,184,178,129,63,125,75,235,103,173,160,157,121,210,4611,819
9,F2,1063,526,485,213,384,620,194,102,0,172,178,125,69,118,74,229,91,152,197,152,119,191,4740,893
10,R1,1094,495,490,221,388,642,203,112,1150,181,192,113,70,140,79,227,96,164,170,173,120,211,4648,743
11,F2,1087,629,581,215,390,743,189,82,0,174,180,145,64,118,74,244,91,152,187,152,129,181,4749,873
12,R2,1118,522,481,217,373,653,199,112,1150,192,185,130,70,134,79,224,93,172,189,179,114,205,4635,753
13,F1,1083,522,485,210,382,644,194,102,1150,188,182,129,68,125,75,222,93,153,180,157,121,205,4700,817
14,F2,1087,629,581,215,390,743,204,82,0,174,180,145,64,118,74,244,91,152,187,152,129,191,4742,888
15,R2,1060,508,477,193,374,637,204,112,0,184,177,130,65,134,79,237,103,192,159,182,114,200,4535,728
16,F1,1095,534,497,211,385,760,189,82,1150,189,181,129,63,125,75,237,93,153,185,157,131,210,4663,845
17,R2,1142,624,577,219,379,781,209,92,1150,197,189,152,65,134,77,239,93,172,184,179,124,205,4689,849
18,F1,1095,534,497,211,385,760,204,82,1150,189,181,129,63,125,75,237,93,153,185,149,131,210,4631,856
19,R1,1106,507,502,222,391,758,213,92,1150,182,193,113,65,140,79,242,96,164,180,165,130,216,4638,843
20,R2,1130,534,493,218,376,771,209,92,1150,194,187,130,65,134,77,239,93,172,184,171,124,205,4659,883
21,R2,1130,534,493,218,376,771,194,92,1150,194,187,130,65,134,77,239,93,172,184,179,124,205,4639,854
22,R2,1142,624,577,219,379,781,194,92,1150,197,189,152,65,134,77,239,93,172,184,179,124,195,4718,876
23,R1,1106,507,502,222,391,758,198,92,1150,182,193,113,65,140,79,242,96,164,180,173,130,216,4615,813
24,R1,1118,593,587,223,394,768,198,92,1150,183,195,133,65,140,79,242,96,164,180,173,130,206,4698,826
25,F2,1075,538,497,214,387,733,189,82,0,173,179,125,64,118,74,244,91,152,187,152,129,191,4695,876
